,total,white,blk_af_am,am_indian_alas_nat,asian,nat_haw_pac_island,other,two_or_more,GEO_ID,County,perc_white,perc_blk_af_am,perc_am_indian_alas_nat,perc_asian,perc_nat_haw_pac_island,perc_other,perc_two_or_more,fips
299,122302,116835,1802,132,574,0,422,2537,0500000US23011,"Kennebec County, Maine",0.9552991774459944,0.014734019067554087,0.0010792955143824304,0.00469330019132966,0.0,0.0034504750535559515,0.02074373272718353,23011
300,152148,142957,1313,2101,1708,65,1040,2964,0500000US23019,"Penobscot County, Maine",0.939591713331756,0.008629755238320583,0.013808922890869416,0.011225911612377421,0.0004272156058574546,0.006835449693719273,0.01948103162709993,23019
301,207641,197350,2374,1376,2314,56,839,3332,0500000US23031,"York County, Maine",0.9504384972139414,0.011433194792935884,0.006626822255720209,0.011144234520157387,0.0002696962545932643,0.004040627814352657,0.01604692714829923,23031
302,70416,61563,5642,124,815,15,53,2204,0500000US24001,"Allegany County, Maryland",0.8742757327880027,0.08012383549193365,0.0017609634174051351,0.011574074074074073,0.00021301976823449216,0.0007526698477618723,0.03129970461258805,24001
303,579234,417915,101926,1312,21617,103,10105,26256,0500000US24003,"Anne Arundel County, Maryland",0.7214959757196573,0.17596688039721425,0.0022650604073655898,0.037319977763736245,0.00017782105332214614,0.01744545382349793,0.045328830835206495,24003
304,827370,483230,248401,2305,50514,429,20267,22224,0500000US24005,"Baltimore County, Maryland",0.5840555011663464,0.3002296433276527,0.0027859361591549125,0.06105370027919794,0.0005185104608578992,0.02449569116598378,0.02686101744080641,24005
305,92525,75277,11807,208,1448,54,205,3526,0500000US24009,"Calvert County, Maryland",0.8135855174277222,0.1276087543907052,0.002248041069981086,0.015649824371791406,0.0005836260470143205,0.002215617400702513,0.03810861929208322,24009
306,168447,153803,6294,456,3332,0,706,3856,0500000US24013,"Carroll County, Maryland",0.9130646434783641,0.03736486847495058,0.002707082940034551,0.019780702535515622,0.0,0.004191229288737704,0.02289147328239743,24013
307,102855,90092,7715,0,1859,0,369,2820,0500000US24015,"Cecil County, Maryland",0.8759126926255408,0.07500850712167614,0.0,0.018073987652520537,0.0,0.0035875747411404403,0.027417237859122066,24015
308,163257,66778,82621,182,5467,50,2036,6123,0500000US24017,"Charles County, Maryland",0.4090360597095377,0.5060793717880397,0.0011148067157916658,0.03348707865512658,0.0003062655812614467,0.012471134468966109,0.037505283081276757,24017
309,259547,206661,27065,963,12349,77,3076,9356,0500000US24021,"Frederick County, Maryland",0.7962372903558893,0.10427783792530833,0.003710310656644076,0.04757905119304018,0.00029667073786250657,0.011851418047598315,0.03604742108365729,24021
310,255441,199416,36306,165,7299,92,3310,8853,0500000US24025,"Harford County, Maryland",0.7806734236085828,0.14213066813863084,0.000645941724312072,0.02857411300456857,0.00036016144628309474,0.012957982469533082,0.03465770960808954,24025
311,325690,179563,64061,1609,60235,230,3873,16119,0500000US24027,"Howard County, Maryland",0.551331020295373,0.19669317449108048,0.004940280634959624,0.18494580736282967,0.00070619300561884,0.011891676133746814,0.04949184807639166,24027
312,1050688,536605,200076,4413,157335,252,106894,45113,0500000US24031,"Montgomery County, Maryland",0.5107177392337211,0.19042379850155328,0.00420010507400865,0.14974473868550892,0.00023984284583054152,0.10173714746908692,0.04293662819029055,24031
313,909327,145611,561709,3262,37198,741,134238,26568,0500000US24033,"Prince George's County, Maryland",0.16013051410548682,0.6177194782514981,0.003587268386400052,0.040907176406287285,0.0008148883734894048,0.14762346218687006,0.029217212289968295,24033
