,total,white,blk_af_am,am_indian_alas_nat,asian,nat_haw_pac_island,other,two_or_more,GEO_ID,County,perc_white,perc_blk_af_am,perc_am_indian_alas_nat,perc_asian,perc_nat_haw_pac_island,perc_other,perc_two_or_more,fips
1,223234,190912,18338,2428,2160,0,4685,4711,0500000US01003,"Baldwin County, Alabama",0.8552102278326779,0.08214698477830439,0.010876479389340334,0.009675945420500461,0.0,0.02098694643289105,0.02110341614628596,01003
2,113605,82323,25226,201,225,85,3186,2359,0500000US01015,"Calhoun County, Alabama",0.7246424013027596,0.22205008582368735,0.0017692883235773072,0.00198054663087012,0.0007482065049953787,0.028044540293120902,0.020764931120989392,01015
4,71513,59305,688,792,17,339,8327,2045,0500000US01049,"DeKalb County, Alabama",0.8292897794806539,0.009620628417210857,0.0110749094570218,0.0002377190161229427,0.00474039685092221,0.11644036748563198,0.02859619929243634,01049
5,81209,61634,17768,204,884,0,216,503,0500000US01051,"Elmore County, Alabama",0.7589552882069721,0.21879348348089497,0.0025120368432070338,0.01088549298723048,0.0,0.0026598037163368593,0.00619389476535852,01051
6,102268,79988,16040,290,796,12,3207,1935,0500000US01055,"Etowah County, Alabama",0.7821410411859037,0.15684280517855048,0.002835686627292995,0.007783470880431806,0.00011733875699143427,0.03135878280596081,0.018920874564868777,01055
7,105882,71582,29736,93,946,120,1502,1903,0500000US01069,"Houston County, Alabama",0.6760544757371414,0.2808409361364538,0.0008783362611208704,0.008934474226025198,0.0011333371111237037,0.014185602840898358,0.017972837687236735,01069
8,658573,341788,285001,1846,11523,0,9081,9334,0500000US01073,"Jefferson County, Alabama",0.5189827095857255,0.432755366527325,0.002803030187997382,0.017496921373940322,0.0,0.013788904191334902,0.014173068133676905,01073
9,92729,79178,10533,224,117,0,620,2057,0500000US01077,"Lauderdale County, Alabama",0.8538644868379903,0.11358906059593007,0.0024156412772703252,0.0012617412028599468,0.0,0.006686149963873222,0.022182920122076157,01077
10,164542,116738,37396,586,7191,0,197,2434,0500000US01081,"Lee County, Alabama",0.709472353563224,0.2272732797705145,0.00356140073659005,0.043703127468974486,0.0,0.0011972627049628667,0.014792575755734099,01081
11,98915,77744,13999,435,1695,80,2831,2131,0500000US01083,"Limestone County, Alabama",0.7859677500884598,0.14152555224182378,0.004397715210028813,0.017135924783905375,0.0008087752110397816,0.028620532780670272,0.021543749684072182,01083
12,372909,250321,92197,2331,10309,132,7659,9960,0500000US01089,"Madison County, Alabama",0.6712656438970366,0.2472372616375577,0.006250854766176198,0.027644814150369124,0.00035397375767278345,0.020538522803150366,0.026708928988037298,01089
13,96774,90252,3820,71,593,0,1222,816,0500000US01095,"Marshall County, Alabama",0.9326058652117304,0.039473412280157896,0.0007336681340029347,0.006127678922024511,0.0,0.01262735858805051,0.008432016864033729,01095
14,413210,240449,150159,2915,7779,61,3449,8398,0500000US01097,"Mobile County, Alabama",0.5819050845816897,0.3633963360034849,0.007054524333873817,0.01882577865976138,0.000147624694465284,0.008346845429684663,0.020323806297040246,01097
15,226486,78586,132115,816,7273,0,3458,4238,0500000US01101,"Montgomery County, Alabama",0.3469795042519184,0.5833252386460973,0.003602871700679071,0.03211236014588098,0.0,0.015268051888416944,0.018711973367007233,01101
18,217702,173941,27252,1555,4070,0,4958,5926,0500000US01117,"Shelby County, Alabama",0.7989866882251886,0.1251802923262074,0.007142791522356248,0.018695280704816675,0.0,0.022774251040413043,0.02722069618101809,01117
19,79978,50787,26486,385,413,133,164,1610,0500000US01121,"Talladega County, Alabama",0.6350121283352922,0.3311660706694341,0.004813823801545425,0.005163920078021456,0.001662957313261147,0.002050563905073895,0.020130535897371776,01121
20,209355,134432,68660,87,3491,125,1053,1507,0500000US01125,"Tuscaloosa County, Alabama",0.642124620859306,0.3279596857013207,0.0004155620835423085,0.016675025674094242,0.0005970719591125122,0.005029734183563803,0.007198299539060447,01125
22,288000,180389,15207,25556,25976,8041,6490,26341,0500000US02020,"Anchorage Municipality, Alaska",0.6263506944444445,0.05280208333333333,0.08873611111111111,0.09019444444444444,0.02792013888888889,0.022534722222222223,0.09146180555555555,02020
23,96849,73145,3962,8955,3173,117,1241,6256,0500000US02090,"Fairbanks North Star Borough, Alaska",0.7552478600708319,0.04090904397567347,0.09246352569463805,0.03276234137678241,0.0012080661648545673,0.012813761628927505,0.06459540108829208,02090
24,108317,88690,1699,8489,1681,326,416,7016,0500000US02170,"Matanuska-Susitna Borough, Alaska",0.8188003729793107,0.01568544180507215,0.07837181605842111,0.015519262904253256,0.003009684537053279,0.003840579041147742,0.06477284267474173,02170
25,71887,15109,721,53480,160,15,1127,1275,0500000US04001,"Apache County, Arizona",0.2101770834782367,0.010029629835714385,0.7439453586879408,0.002225715358827048,0.00020866081489003574,0.015677382558738018,0.017736169265653037,04001
26,125922,108177,6163,1006,2795,129,2141,5511,0500000US04003,"Cochise County, Arizona",0.8590794301234097,0.048942996458124874,0.007989072600498722,0.022196280236972094,0.0010244437032448659,0.01700258890424231,0.04376518797350741,04003
27,143476,91649,1364,37187,2730,419,3897,6230,0500000US04005,"Coconino County, Arizona",0.6387758231341827,0.009506816471047423,0.2591862053583875,0.019027572555688755,0.0029203490479243915,0.027161337087735927,0.043421896345033316,04005
28,4485414,3547155,266128,93358,192301,10045,213953,162474,0500000US04013,"Maricopa County, Arizona",0.7908199778214452,0.05933186992326684,0.02081368631747259,0.04287251968268704,0.002239481127048696,0.047699721809402656,0.03622274331867694,04013
29,212181,188756,1496,4358,1923,138,7608,7902,0500000US04015,"Mohave County, Arizona",0.8895989744604842,0.0070505841710614995,0.020539068059816853,0.00906301695250753,0.0006503881120364217,0.035856179394007946,0.03724178885008554,04015
30,110924,51262,1309,50892,193,136,3817,3315,0500000US04017,"Navajo County, Arizona",0.4621362374238217,0.011800872669575566,0.4588006202444917,0.0017399300421910497,0.001226064692942916,0.03441094803649346,0.029885326890483576,04017
31,1047279,795391,38343,40603,29276,1733,82611,59322,0500000US04019,"Pima County, Arizona",0.7594833850387528,0.03661202029258679,0.03876999347833767,0.027954346454001272,0.0016547643942063195,0.0788815587823302,0.05664393155978493,04019
32,462789,366928,21264,25035,6642,1197,21525,20198,0500000US04021,"Pinal County, Arizona",0.7928624059776702,0.04594750523456694,0.05409592708556167,0.014352112949962078,0.0025864919001964176,0.046511477152654884,0.04364407969938784,04021
33,235099,209030,2020,4526,2543,51,12111,4818,0500000US04025,"Yavapai County, Arizona",0.8891147984466119,0.008592125019672563,0.019251464276751496,0.010816719764865014,0.0002169298891105449,0.05151446837289823,0.020493494230090302,04025
34,213787,189117,3244,2900,2388,242,9376,6520,0500000US04027,"Yuma County, Arizona",0.8846047701684386,0.015173981579796714,0.013564903385145027,0.011169996304733216,0.0011319677997258953,0.0438567359100413,0.030497644852119164,04027
35,279141,243511,4371,4314,10818,1907,5019,9201,0500000US05007,"Benton County, Arkansas",0.8723584138481986,0.01565875310327039,0.015454555224778874,0.038754607886337014,0.006831672882163495,0.017980160564016034,0.03296183649123561,05007
36,110332,86310,18031,188,1527,0,507,3769,0500000US05031,"Craighead County, Arkansas",0.7822753145053113,0.16342493564876917,0.001703948083964761,0.013840046405394628,0.0,0.0045952216945219886,0.03416053366203821,05031
37,126007,104065,15337,194,1401,0,1766,3244,0500000US05045,"Faulkner County, Arkansas",0.8258668169228693,0.12171546025220821,0.001539597006515511,0.011118429928496036,0.0,0.014015094399517487,0.02574460149039339,05045
38,99386,86188,8275,849,951,0,633,2490,0500000US05051,"Garland County, Arkansas",0.867204636467913,0.0832612239148371,0.008542450646972411,0.009568752138128106,0.0,0.006369106312760348,0.02505383051938905,05051
41,391911,216942,147026,1365,8522,289,7095,10672,0500000US05119,"Pulaski County, Arkansas",0.5535491476381117,0.37515150123369845,0.003482933625236342,0.021744732860266743,0.0007374123206544343,0.018103600052052634,0.027230672269979665,05119
42,122437,107328,9375,246,1747,0,632,3109,0500000US05125,"Saline County, Arkansas",0.8765977604809004,0.07656999109746236,0.0020091965663974125,0.014268562607708455,0.0,0.005161838333183596,0.025392650914347788,05125
43,127827,92977,8891,1031,5647,0,11058,8223,0500000US05131,"Sebastian County, Arkansas",0.7273658929647101,0.0695549453558325,0.008065588647155921,0.04417689533510135,0.0,0.08650754535426788,0.06432913234293225,05131
44,239187,188340,9389,2251,6116,6769,18738,7584,0500000US05143,"Washington County, Arkansas",0.7874173763624277,0.03925380559980266,0.009411046586980061,0.025569951544189274,0.028300033028550883,0.07834037803057858,0.03170740884747081,05143
45,78753,71325,4524,768,0,0,1196,940,0500000US05145,"White County, Arkansas",0.9056797836272904,0.05744543065026094,0.009752009447259152,0.0,0.0,0.015186723045471284,0.011936053229718233,05145
46,1671329,649209,178246,12648,520313,13503,191329,106081,0500000US06001,"Alameda County, California",0.388438781353043,0.10664925936186113,0.007567630310968098,0.31131692204227895,0.00807919924802358,0.11447716158817324,0.06347104609565202,06001
47,219186,175765,3984,2333,10365,798,12272,13669,0500000US06007,"Butte County, California",0.8018988439042639,0.01817634337959541,0.01064392798810143,0.04728860419917331,0.003640743478141852,0.05598897739819149,0.062362559652532554,06007
48,1153526,600481,101590,5863,205366,4625,162355,73246,0500000US06013,"Contra Costa County, California",0.520561305076782,0.08806910290708662,0.005082676940094978,0.1780332649632518,0.004009445820900439,0.1407467191896845,0.06349748510219969,06013
49,192843,167011,1644,2540,10114,125,4845,6564,0500000US06017,"El Dorado County, California",0.8660464730376524,0.0085250696162163,0.013171336268363384,0.052446809062294195,0.000648195682498198,0.025124064653630155,0.03403805167934537,06017
50,999101,638792,47391,13588,104859,1953,152697,39821,0500000US06019,"Fresno County, California",0.6393667907448797,0.04743364284491758,0.013600226603716742,0.1049533530644049,0.0019547573268368264,0.1528343981239134,0.039856831291330906,06019
51,135558,106738,2059,7073,3525,539,4906,10718,0500000US06023,"Humboldt County, California",0.787397276442556,0.015189070361026277,0.052176927957036844,0.026003629442747755,0.003976157806990366,0.0361911506513817,0.07906578733826111,06023
52,181215,125807,3979,3791,2589,0,41162,3887,0500000US06025,"Imperial County, California",0.6942416466628039,0.021957343487018183,0.020919901774135694,0.014286896780067875,0.0,0.2271445520514306,0.021449659244543774,06025
53,900202,645240,46432,8906,42066,907,122148,34503,0500000US06029,"Kern County, California",0.7167724577372634,0.05157953437117447,0.009893335051466227,0.04672951182068025,0.0010075516384100457,0.13568954523540272,0.03832806414560288,06029
54,152940,115128,8635,2804,5104,460,13840,6969,0500000US06031,"Kings County, California",0.7527657905060808,0.056460049692689945,0.018333987184516804,0.033372564404341575,0.0030077154439649536,0.09049300379233687,0.045566888976069045,06031
55,64386,50669,1247,2540,499,27,6062,3342,0500000US06033,"Lake County, California",0.7869567918491598,0.019367564377349114,0.0394495697822508,0.00775013201627683,0.0004193458205199888,0.09415090237008045,0.05190569378436306,06033
56,10039107,5234081,811176,81491,1474713,26307,1997842,413497,0500000US06037,"Los Angeles County, California",0.5213691815417447,0.0808016091471084,0.008117355458010359,0.1468968305647106,0.0026204521975908813,0.19900594744134115,0.041188623649493925,06037
57,157327,107073,4138,1810,3838,1131,35503,3834,0500000US06039,"Madera County, California",0.6805761248863832,0.026301906220801263,0.011504700401075468,0.024395049800733506,0.007188848703655444,0.22566374493888525,0.024369625048465935,06039
58,258826,204109,7058,1534,16663,273,18564,10625,0500000US06041,"Marin County, California",0.7885954270436509,0.027269285156823503,0.005926761608184649,0.06437915819894446,0.0010547626590837087,0.07172386081769219,0.04105074451562053,06041
59,86749,73467,823,4610,1954,135,2696,3064,0500000US06045,"Mendocino County, California",0.8468916068196751,0.00948714106214481,0.05314182296049522,0.022524755328591686,0.0015562139044830489,0.031078168048046664,0.035320291876563416,06045
60,277680,141038,9337,2821,20581,34,95138,8731,0500000US06047,"Merced County, California",0.5079155862863728,0.03362503601267646,0.010159176029962547,0.0741176894266782,0.00012244309997118985,0.34261740132526647,0.03144266781907231,06047
61,434061,196483,12231,2057,26860,1288,178002,17140,0500000US06053,"Monterey County, California",0.45266218342583187,0.028178067138028985,0.004738965260643089,0.06188070340343869,0.002967324869085221,0.41008521843703993,0.039487537465932206,06053
62,137744,101380,3314,815,11552,271,14604,5808,0500000US06055,"Napa County, California",0.7360030200952492,0.024059124172377745,0.005916773144383785,0.08386572191892205,0.00196741781856197,0.10602276687187827,0.04216517597862702,06055
63,99755,92832,310,487,1243,342,314,4227,0500000US06057,"Nevada County, California",0.9305999699263194,0.0031076136534509548,0.004881960803969726,0.012460528294321087,0.003428399578968473,0.0031477118941406444,0.042373815848829634,06057
64,3175692,1881453,55517,12961,672223,11166,410006,132366,0500000US06059,"Orange County, California",0.5924544949573195,0.017481859071975494,0.004081315190515957,0.21167764380172888,0.0035160840534913334,0.12910760867237756,0.041680994252591246,06059
65,398329,329697,7771,2238,32784,700,5421,19718,0500000US06061,"Placer County, California",0.8277002176592716,0.019508998842665232,0.005618471163284622,0.08230382422570287,0.0017573412932525626,0.013609353072460202,0.0495017937433629,06061
66,2470546,1478117,163542,20934,172785,8695,517882,108591,0500000US06065,"Riverside County, California",0.5982956803880599,0.06619670307697165,0.008473430569598785,0.06993798132072829,0.0035194649279956737,0.2096224883082525,0.043954251408393125,06065
67,1552058,859356,148840,11004,250836,19153,138724,124145,0500000US06067,"Sacramento County, California",0.5536880709354934,0.09589847802079561,0.007089941226423239,0.1616150942812704,0.012340389341119983,0.08938068036117207,0.07998734583372528,06067
68,2180085,1351926,181122,17061,160336,8247,346772,114621,0500000US06071,"San Bernardino County, California",0.6201253620845059,0.08308024687110824,0.007825841652963073,0.07354575624344922,0.003782880025320114,0.15906352275255323,0.05257639037010025,06071
69,3338330,2368310,164475,23116,404836,13736,177471,186386,0500000US06073,"San Diego County, California",0.7094295650819422,0.049268646299197506,0.006924420293979325,0.12126901774240413,0.004114632166382593,0.053161610745492506,0.05583210767060177,06073
70,881549,398662,48225,3568,307649,3785,69536,50124,0500000US06075,"San Francisco County, California",0.45222897422604985,0.05470484340632228,0.004047421073587514,0.34898684020967635,0.004293578689329804,0.07887933625924368,0.05685900613579052,06075
71,762148,431364,52493,4831,123090,5279,55774,89317,0500000US06077,"San Joaquin County, California",0.5659845594294022,0.06887507413258318,0.006338663881555813,0.1615040648273039,0.006926476222465978,0.07318001228107926,0.11719114922560972,06077
72,283111,242058,5107,3475,11041,253,11291,9886,0500000US06079,"San Luis Obispo County, California",0.8549932711904518,0.018038861082755528,0.012274337627291063,0.038998837911631834,0.0008936424229365867,0.039881883784098814,0.034919165980834374,06079
73,766573,381129,17625,3330,230398,9496,84658,39937,0500000US06081,"San Mateo County, California",0.4971855257098802,0.022991939449993674,0.004344008985445613,0.30055585051912864,0.012387600398135598,0.11043697077773415,0.05209810415968212,06081
74,446499,343029,9809,5079,25843,447,46682,15610,0500000US06083,"Santa Barbara County, California",0.768263758709426,0.02196869421880004,0.011375165453897993,0.05787918897914665,0.0010011220629833437,0.10455118600489587,0.0349608845708501,06083
75,1927852,870226,49308,8607,726712,7082,163090,102827,0500000US06085,"Santa Clara County, California",0.45139668397781574,0.025576652149646342,0.004464554333008966,0.37695424752522494,0.0036735185066073535,0.08459674290350089,0.053337600604195755,06085
76,273213,210821,4743,1460,14422,212,27687,13868,0500000US06087,"Santa Cruz County, California",0.771636049529122,0.01736008169450209,0.0053438159970426,0.05278665363653999,0.000775951363954131,0.10133851610282088,0.050758931676018346,06087
77,180080,154887,1878,4027,6316,550,4133,8289,0500000US06089,"Shasta County, California",0.8601010661928032,0.010428698356286095,0.02236228342958685,0.0350733007552199,0.0030541981341625944,0.02295091070635273,0.046029542425588627,06089
78,447643,240947,61052,2450,69555,4125,35039,34475,0500000US06095,"Solano County, California",0.5382570485855916,0.13638546788400577,0.005473111385635428,0.15538051527668253,0.009214932434998425,0.0782744285066448,0.07701449592644138,06095
79,494336,364751,7410,4392,20748,1864,67532,27639,0500000US06097,"Sonoma County, California",0.7378604835577421,0.014989804505437597,0.008884645261522528,0.04197145261522527,0.0037707146556188505,0.13661153547384774,0.055911363930605903,06097
80,550660,442681,16542,4230,32487,3363,29002,22355,0500000US06099,"Stanislaus County, California",0.8039098536301892,0.030040315258053972,0.0076816910616351285,0.05899647695492682,0.0061072167943921835,0.052667707841499295,0.04059673845930338,06099
81,96971,65941,1793,906,15955,184,4888,7304,0500000US06101,"Sutter County, California",0.6800074249002279,0.018490064039764467,0.009342999453444844,0.1645337265780491,0.00189747450268637,0.05040682265832053,0.07532148786750678,06101
82,65084,55148,224,472,1166,46,3990,4038,0500000US06103,"Tehama County, California",0.8473357507221437,0.003441706102882429,0.00725216643107369,0.017915309446254073,0.0007067789318419273,0.06130538995759326,0.06204289840821093,06103
83,466195,314748,6811,7103,16248,862,99210,21213,0500000US06107,"Tulare County, California",0.6751423760443591,0.014609766299509861,0.01523611364343247,0.03485236864402235,0.0018490116796619441,0.21280794517315715,0.045502418515857096,06107
84,846006,678174,15510,5745,63728,1139,43078,38632,0500000US06111,"Ventura County, California",0.8016184282380976,0.018333203310614818,0.006790731980624251,0.07532807095930762,0.001346326148987123,0.05091926061990104,0.04566397874246755,06111
85,220500,158079,6192,2204,32179,1073,9238,11535,0500000US06113,"Yolo County, California",0.7169115646258504,0.028081632653061225,0.00999546485260771,0.14593650793650795,0.004866213151927438,0.041895691609977324,0.052312925170068025,06113
86,78668,62576,2677,494,4235,645,1838,6203,0500000US06115,"Yuba County, California",0.7954441450144912,0.034029084252809275,0.006279554583820613,0.0538338333248589,0.008199013576041084,0.023364010779478313,0.07885035846850054,06115
87,517421,410925,18728,4884,20608,692,33151,28433,0500000US08001,"Adams County, Colorado",0.7941792080336901,0.03619489738530133,0.009439122107529459,0.03982830229155755,0.0013374022314517578,0.06406968406771275,0.05495138388275698,08001
88,656590,467262,73012,5086,41348,1602,37364,30916,0500000US08005,"Arapahoe County, Colorado",0.7116495834539058,0.11119876939947304,0.007746082029881661,0.06297384973880199,0.0024398787675718485,0.05690613624940983,0.04708570036095585,08005
89,326196,291979,3897,1000,16360,76,3827,9057,0500000US08013,"Boulder County, Colorado",0.8951029442421121,0.011946804988411875,0.003065641516143668,0.05015389520411041,0.0002329887552269188,0.011732210082281818,0.027765515211713204,08013
90,70465,60615,1019,300,5048,0,1310,2173,0500000US08014,"Broomfield County, Colorado",0.8602142907826581,0.014461079968778826,0.004257432768040872,0.07163840204356772,0.0,0.01859078975377847,0.030838004683176046,08014
91,727211,561365,62853,4596,26532,505,38352,33008,0500000US08031,"Denver County, Colorado",0.7719423936106578,0.0864302107641386,0.006320036413090561,0.036484596630138984,0.0006944339400806643,0.05273847617816562,0.045389852463727856,08031
92,351154,309421,6114,1679,18465,0,5275,10200,0500000US08035,"Douglas County, Colorado",0.881154707051607,0.017411164332458123,0.004781377970918742,0.052583766666476815,0.0,0.015021899223702421,0.02904708475483691,08035
93,720403,570068,45784,6960,20001,2263,28083,47244,0500000US08041,"El Paso County, Colorado",0.7913181927337892,0.06355331668524423,0.009661259045284375,0.027763626747806434,0.003141297301649216,0.03898234738056338,0.06557996010566308,08041
94,582881,526137,6943,4885,15706,219,10103,18888,0500000US08059,"Jefferson County, Colorado",0.9026490827458779,0.01191152224896677,0.00838078441397129,0.02694546571255539,0.0003757199153858163,0.017332868973255262,0.03240455598998766,08059
95,356899,324847,3423,3996,7187,469,6105,10872,0500000US08069,"Larimer County, Colorado",0.9101930798349113,0.009590948699772204,0.01119644493259998,0.020137349782431445,0.0013140972656129606,0.017105679758138856,0.030462399726533276,08069
96,154210,145148,836,1144,1634,0,1279,4169,0500000US08077,"Mesa County, Colorado",0.9412359769145969,0.005421178911873419,0.007418455353089943,0.010595940600479865,0.0,0.008293884962064717,0.027034563257895078,08077
97,168424,137775,4327,6434,1435,221,10552,7680,0500000US08101,"Pueblo County, Colorado",0.8180247470669263,0.025691112905524154,0.03820120647888662,0.00852016339714055,0.0013121645371206004,0.06265140360043699,0.04559920201396476,08101
98,324492,284067,4242,3074,4719,580,15071,12739,0500000US08123,"Weld County, Colorado",0.8754206575200622,0.013072741392699974,0.009473268986600595,0.014542731407862136,0.001787409242754829,0.04644490465096212,0.03925828679905822,08123
99,943332,678975,114682,984,50380,516,65164,32631,0500000US09001,"Fairfield County, Connecticut",0.7197625014310974,0.12157119656706229,0.0010431110149979011,0.053406435910156765,0.0005469972395720701,0.0690785428671984,0.03459121496991515,09001
100,891720,609205,120195,3150,51618,532,64363,42657,0500000US09003,"Hartford County, Connecticut",0.6831796976629435,0.13479006863140897,0.003532498990714574,0.05788588346117615,0.0005965998295429059,0.07217848652043242,0.047836764903781456,09003
101,180333,166674,2863,336,4049,0,2186,4225,0500000US09005,"Litchfield County, Connecticut",0.9242567916022026,0.015876184614019618,0.0018632197102027915,0.02245290656729495,0.0,0.012122018709831256,0.023428878796448793,09005
102,162436,139811,10074,392,5148,0,3317,3694,0500000US09007,"Middlesex County, Connecticut",0.8607143736610111,0.062018271811667365,0.0024132581447462386,0.03169248196212662,0.0,0.02042035016868182,0.02274126425176685,09007
103,854757,613987,122987,1570,34348,41,51459,30365,0500000US09009,"New Haven County, Connecticut",0.7183176037166119,0.14388533817213547,0.0018367793419650264,0.04018452027886288,4.79668490576854e-05,0.06020307525998617,0.035524716381380904,09009
104,265206,213621,17205,2383,11608,0,9775,10614,0500000US09011,"New London County, Connecticut",0.8054908259994118,0.06487409787108889,0.008985467900424576,0.04376974879904678,0.0,0.036858140464393715,0.040021718965634265,09011
105,150721,131854,5462,103,7552,11,2245,3494,0500000US09013,"Tolland County, Connecticut",0.8748216904081051,0.036239143848567884,0.0006833818777741655,0.05010582466942231,7.298253063607593e-05,0.01489507102527186,0.023181905640222662,09013
106,116782,106101,3277,134,1690,55,2137,3388,0500000US09015,"Windham County, Connecticut",0.9085389871726807,0.028060831292493708,0.00114743710503331,0.01447140826497234,0.0004709629908718809,0.018299052936240175,0.029011320237707867,09015
107,180786,118702,46829,1801,2977,167,1627,8683,0500000US10001,"Kent County, Delaware",0.6565884526456695,0.2590300133859923,0.009962054583872644,0.016466983062847787,0.0009237440952286129,0.00899959067626918,0.048029161550120034,10001
108,558753,351478,143765,1780,30276,261,14060,17133,0500000US10003,"New Castle County, Delaware",0.6290400230513303,0.25729615769400793,0.0031856652223791193,0.05418494397345518,0.00046711158597806184,0.025163175857668772,0.03066292261518059,10003
109,234225,189539,28824,772,3339,0,7400,4351,0500000US10005,"Sussex County, Delaware",0.809217632618209,0.12306115914185078,0.0032959760913651402,0.01425552353506244,0.0,0.03159355320738606,0.018576155406126588,10005
110,705749,300058,320704,1886,28722,190,30868,23321,0500000US11001,"District of Columbia, District of Columbia",0.42516248694649234,0.4544165135196791,0.002672338182554988,0.04069718837717092,0.0002692175263443519,0.04373792949051292,0.03304432595724542,11001
111,269043,182396,51376,711,15637,1367,4162,13394,0500000US12001,"Alachua County, Florida",0.6779436744312247,0.19095832264730916,0.0026427002375085024,0.058120820835331155,0.005080972186602141,0.015469646116048364,0.04978386354597592,12001
112,174705,141875,17297,342,4001,1419,3297,6474,0500000US12005,"Bay County, Florida",0.812083226009559,0.09900689734123236,0.001957585644371941,0.022901462465298648,0.008122263243753756,0.018871812483901435,0.037056752811882886,12005
113,601942,493588,53058,1596,15018,623,11321,26738,0500000US12009,"Brevard County, Florida",0.8199926238740609,0.08814470497157534,0.00265141824295364,0.024949247601928425,0.0010349834369424297,0.01880745985493619,0.044419562017603026,12009
114,1952778,1180665,562835,4803,73124,1504,61417,68430,0500000US12011,"Broward County, Florida",0.6046078970574228,0.28822272680253463,0.0024595729775734876,0.037446140831164626,0.0007701848341183688,0.03145109172676054,0.03504238577042552,12011
115,188910,168816,10244,834,2523,195,3866,2432,0500000US12015,"Charlotte County, Florida",0.8936318882007305,0.05422688052511778,0.004414800698745435,0.013355566142607592,0.0010322375734476735,0.020464771584352337,0.012873855274998677,12015
116,149657,137716,5014,548,2561,128,1526,2164,0500000US12017,"Citrus County, Florida",0.9202108822173369,0.033503277494537506,0.003661706435382241,0.017112463833967004,0.0008552890943958519,0.010196649672250545,0.01445973125212987,12017
117,219252,170593,26746,461,6353,0,7853,7246,0500000US12019,"Clay County, Florida",0.7780681590133728,0.12198748472077792,0.00210260339700436,0.028975790414682647,0.0,0.03581723313812417,0.03304872931603817,12019
118,384902,341750,26105,322,6029,0,5739,4957,0500000US12021,"Collier County, Florida",0.8878883456048553,0.06782245870377394,0.0008365765831302513,0.01566372739034871,0.0,0.014910288852746933,0.012878602865144894,12021
119,71686,55009,13130,149,1288,0,881,1229,0500000US12023,"Columbia County, Florida",0.7673604329994699,0.18315989175013253,0.0020785090533716488,0.01796724604525291,0.0,0.012289707892754513,0.017144212259018497,12023
120,957755,560489,285600,3571,45052,471,26704,35868,0500000US12031,"Duval County, Florida",0.5852112492234444,0.2981973469206634,0.0037285109448658583,0.047039169725034066,0.0004917750364132789,0.027881869580425055,0.03745007856915391,12031
121,318316,215114,70833,841,7999,0,5560,17969,0500000US12033,"Escambia County, Florida",0.67578758215107,0.22252415838349313,0.0026420286759069604,0.025129116978097235,0.0,0.01746691966473567,0.05645019414669699,12033
122,115081,94443,10232,360,3523,816,2595,3112,0500000US12035,"Flagler County, Florida",0.8206654443392045,0.08891128857065893,0.0031282314196087973,0.030613220253560537,0.007090657884446607,0.022549334816346748,0.027041822716173825,12035
123,193920,169692,11013,371,1931,225,3248,7440,0500000US12053,"Hernando County, Florida",0.8750618811881188,0.056791460396039606,0.0019131600660066007,0.009957714521452145,0.0011602722772277227,0.016749174917491748,0.038366336633663366,12053
124,106221,89142,11765,54,1649,0,3134,477,0500000US12055,"Highlands County, Florida",0.8392125850820459,0.11075964263187128,0.000508374050329031,0.01552423720356615,0.0,0.029504523587614503,0.004490637444573107,12055
125,1471968,1024028,255003,2528,60593,1643,73154,55019,0500000US12057,"Hillsborough County, Florida",0.6956863192678102,0.17323949977173417,0.001717428639753038,0.041164617709080635,0.001116192743320507,0.04969809126285354,0.037377850605447946,12057
126,159923,138076,15496,171,1688,0,1889,2603,0500000US12061,"Indian River County, Florida",0.8633905066813404,0.09689663150391126,0.0010692645835808483,0.010555079632072936,0.0,0.011811934493474984,0.01627658310561958,12061
127,367118,298056,39377,1047,7842,646,10885,9265,0500000US12069,"Lake County, Florida",0.8118806487287467,0.10725979112982746,0.0028519440615823793,0.021360979303657136,0.0017596522099161578,0.0296498673451043,0.025237117221165947,12069
128,770577,644360,66440,1432,12761,951,31024,13609,0500000US12071,"Lee County, Florida",0.8362045584023401,0.08622110444511061,0.001858347705680289,0.016560317787839503,0.0012341401313561136,0.04026073967948693,0.01766079184818649,12071
129,293582,178573,92373,548,11072,71,3260,7685,0500000US12073,"Leon County, Florida",0.6082559557466057,0.3146412245982383,0.0018665994509200156,0.03771348379669053,0.00024184043980898012,0.011104223010947538,0.026176672956788903,12073
130,403253,343991,36200,569,8590,0,7020,6883,0500000US12081,"Manatee County, Florida",0.8530401509722184,0.08976994591484751,0.0014110248404847576,0.02130176340907569,0.0,0.017408425975752196,0.01706868888762142,12081
131,365579,299730,48342,1486,4194,0,4469,7358,0500000US12083,"Marion County, Florida",0.8198775093755385,0.1322340725260477,0.004064784902852735,0.011472212572385175,0.0,0.012224443964232081,0.02012697665894376,12083
132,161000,144003,7813,672,2398,0,2483,3631,0500000US12085,"Martin County, Florida",0.8944285714285715,0.04852795031055901,0.0041739130434782605,0.014894409937888198,0.0,0.015422360248447205,0.0225527950310559,12085
133,2716940,2053027,456189,4788,42480,986,106731,52739,0500000US12086,"Miami-Dade County, Florida",0.7556394325969658,0.16790543773509906,0.0017622766789108335,0.015635236700111153,0.0003629082718057815,0.039283532209029276,0.019411175808078204,12086
