,GEO_ID,County,fips,race,perc_total
6320,0500000US06097,"Sonoma County, California",06097,perc_White,0.7378604835577421
6321,0500000US06099,"Stanislaus County, California",06099,perc_White,0.8039098536301892
6322,0500000US06101,"Sutter County, California",06101,perc_White,0.6800074249002279
6323,0500000US06103,"Tehama County, California",06103,perc_White,0.8473357507221437
6324,0500000US06107,"Tulare County, California",06107,perc_White,0.6751423760443591
6325,0500000US06111,"Ventura County, California",06111,perc_White,0.8016184282380976
6326,0500000US06113,"Yolo County, California",06113,perc_White,0.7169115646258504
6327,0500000US06115,"Yuba County, California",06115,perc_White,0.7954441450144912
6328,0500000US08001,"Adams County, Colorado",08001,perc_White,0.7941792080336901
6329,0500000US08005,"Arapahoe County, Colorado",08005,perc_White,0.7116495834539058
6330,0500000US08013,"Boulder County, Colorado",08013,perc_White,0.8951029442421121
6331,0500000US08014,"Broomfield County, Colorado",08014,perc_White,0.8602142907826581
6332,0500000US08031,"Denver County, Colorado",08031,perc_White,0.7719423936106578
6333,0500000US08035,"Douglas County, Colorado",08035,perc_White,0.881154707051607
6334,0500000US08041,"El Paso County, Colorado",08041,perc_White,0.7913181927337892
6335,0500000US08059,"Jefferson County, Colorado",08059,perc_White,0.9026490827458779
6336,0500000US08069,"Larimer County, Colorado",08069,perc_White,0.9101930798349113
6337,0500000US08077,"Mesa County, Colorado",08077,perc_White,0.9412359769145969
6338,0500000US08101,"Pueblo County, Colorado",08101,perc_White,0.8180247470669263
6339,0500000US08123,"Weld County, Colorado",08123,perc_White,0.8754206575200622
6340,0500000US09001,"Fairfield County, Connecticut",09001,perc_White,0.7197625014310974
6341,0500000US09003,"Hartford County, Connecticut",09003,perc_White,0.6831796976629435
6342,0500000US09005,"Litchfield County, Connecticut",09005,perc_White,0.9242567916022026
6343,0500000US09007,"Middlesex County, Connecticut",09007,perc_White,0.8607143736610111
6344,0500000US09009,"New Haven County, Connecticut",09009,perc_White,0.7183176037166119
6345,0500000US09011,"New London County, Connecticut",09011,perc_White,0.8054908259994118
6346,0500000US09013,"Tolland County, Connecticut",09013,perc_White,0.8748216904081051
6347,0500000US09015,"Windham County, Connecticut",09015,perc_White,0.9085389871726807
6348,0500000US10001,"Kent County, Delaware",10001,perc_White,0.6565884526456695
6349,0500000US10003,"New Castle County, Delaware",10003,perc_White,0.6290400230513303
6350,0500000US10005,"Sussex County, Delaware",10005,perc_White,0.809217632618209
6351,0500000US11001,"District of Columbia, District of Columbia",11001,perc_White,0.42516248694649234
6352,0500000US12001,"Alachua County, Florida",12001,perc_White,0.6779436744312247
6353,0500000US12005,"Bay County, Florida",12005,perc_White,0.812083226009559
6354,0500000US12009,"Brevard County, Florida",12009,perc_White,0.8199926238740609
6355,0500000US12011,"Broward County, Florida",12011,perc_White,0.6046078970574228
6356,0500000US12015,"Charlotte County, Florida",12015,perc_White,0.8936318882007305
6357,0500000US12017,"Citrus County, Florida",12017,perc_White,0.9202108822173369
6358,0500000US12019,"Clay County, Florida",12019,perc_White,0.7780681590133728
6359,0500000US12021,"Collier County, Florida",12021,perc_White,0.8878883456048553
6360,0500000US12023,"Columbia County, Florida",12023,perc_White,0.7673604329994699
6361,0500000US12031,"Duval County, Florida",12031,perc_White,0.5852112492234444
6362,0500000US12033,"Escambia County, Florida",12033,perc_White,0.67578758215107
6363,0500000US12035,"Flagler County, Florida",12035,perc_White,0.8206654443392045
6364,0500000US12053,"Hernando County, Florida",12053,perc_White,0.8750618811881188
6365,0500000US12055,"Highlands County, Florida",12055,perc_White,0.8392125850820459
6366,0500000US12057,"Hillsborough County, Florida",12057,perc_White,0.6956863192678102
6367,0500000US12061,"Indian River County, Florida",12061,perc_White,0.8633905066813404
6368,0500000US12069,"Lake County, Florida",12069,perc_White,0.8118806487287467
6369,0500000US12071,"Lee County, Florida",12071,perc_White,0.8362045584023401
6370,0500000US12073,"Leon County, Florida",12073,perc_White,0.6082559557466057
6371,0500000US12081,"Manatee County, Florida",12081,perc_White,0.8530401509722184
6372,0500000US12083,"Marion County, Florida",12083,perc_White,0.8198775093755385
6373,0500000US12085,"Martin County, Florida",12085,perc_White,0.8944285714285715
6374,0500000US12086,"Miami-Dade County, Florida",12086,perc_White,0.7556394325969658
6375,0500000US12087,"Monroe County, Florida",12087,perc_White,0.8596217060947351
6376,0500000US12089,"Nassau County, Florida",12089,perc_White,0.8880451339915374
6377,0500000US12091,"Okaloosa County, Florida",12091,perc_White,0.769780485721607
6378,0500000US12095,"Orange County, Florida",12095,perc_White,0.6356623694249963
6379,0500000US12097,"Osceola County, Florida",12097,perc_White,0.7170386772091092
6380,0500000US12099,"Palm Beach County, Florida",12099,perc_White,0.7239368774093549
6381,0500000US12101,"Pasco County, Florida",12101,perc_White,0.858881806382199
6382,0500000US12103,"Pinellas County, Florida",12103,perc_White,0.8113161489893291
6383,0500000US12105,"Polk County, Florida",12105,perc_White,0.7501355589374387
6384,0500000US12107,"Putnam County, Florida",12107,perc_White,0.804766441674159
6385,0500000US12109,"St. Johns County, Florida",12109,perc_White,0.8810074356184259
6386,0500000US12111,"St. Lucie County, Florida",12111,perc_White,0.720298997554044
6387,0500000US12113,"Santa Rosa County, Florida",12113,perc_White,0.8526962286979215
6388,0500000US12115,"Sarasota County, Florida",12115,perc_White,0.9053423463718063
6389,0500000US12117,"Seminole County, Florida",12117,perc_White,0.7160033571698041
6390,0500000US12119,"Sumter County, Florida",12119,perc_White,0.8989578613502492
6391,0500000US12127,"Volusia County, Florida",12127,perc_White,0.7865490417217921
6392,0500000US12131,"Walton County, Florida",12131,perc_White,0.8772259048750524
6393,0500000US13013,"Barrow County, Georgia",13013,perc_White,0.7753604036520904
6394,0500000US13015,"Bartow County, Georgia",13015,perc_White,0.8359353245837123
6395,0500000US13021,"Bibb County, Georgia",13021,perc_White,0.392748712122696
6396,0500000US13031,"Bulloch County, Georgia",13031,perc_White,0.6506506883730279
6397,0500000US13045,"Carroll County, Georgia",13045,perc_White,0.7367491166077739
6398,0500000US13051,"Chatham County, Georgia",13051,perc_White,0.5149431641502263
6399,0500000US13057,"Cherokee County, Georgia",13057,perc_White,0.8522141027077786
6400,0500000US13059,"Clarke County, Georgia",13059,perc_White,0.6294270285433761
6401,0500000US13063,"Clayton County, Georgia",13063,perc_White,0.17086047848461622
6402,0500000US13067,"Cobb County, Georgia",13067,perc_White,0.5618799670061212
6403,0500000US13073,"Columbia County, Georgia",13073,perc_White,0.7297624972880534
6404,0500000US13077,"Coweta County, Georgia",13077,perc_White,0.7581224033560255
6405,0500000US13089,"DeKalb County, Georgia",13089,perc_White,0.338395910954475
6406,0500000US13097,"Douglas County, Georgia",13097,perc_White,0.4473121365558995
6407,0500000US13113,"Fayette County, Georgia",13113,perc_White,0.6560596394018581
6408,0500000US13115,"Floyd County, Georgia",13115,perc_White,0.7702999045665901
6409,0500000US13117,"Forsyth County, Georgia",13117,perc_White,0.7475148617002113
6410,0500000US13121,"Fulton County, Georgia",13121,perc_White,0.44125263055989217
6411,0500000US13127,"Glynn County, Georgia",13127,perc_White,0.6563804342728509
6412,0500000US13135,"Gwinnett County, Georgia",13135,perc_White,0.45903765020026704
6413,0500000US13139,"Hall County, Georgia",13139,perc_White,0.855963334164869
6414,0500000US13151,"Henry County, Georgia",13151,perc_White,0.4557620405779307
6415,0500000US13153,"Houston County, Georgia",13153,perc_White,0.5792554303414986
6416,0500000US13157,"Jackson County, Georgia",13157,perc_White,0.8448963372021322
6417,0500000US13185,"Lowndes County, Georgia",13185,perc_White,0.5471611331618487
6418,0500000US13215,"Muscogee County, Georgia",13215,perc_White,0.4256700499057563
6419,0500000US13223,"Paulding County, Georgia",13223,perc_White,0.7452613730012392
6420,0500000US13245,"Richmond County, Georgia",13245,perc_White,0.3542302412625051
6421,0500000US13247,"Rockdale County, Georgia",13247,perc_White,0.36730989262453795
6422,0500000US13285,"Troup County, Georgia",13285,perc_White,0.5755985240696776
6423,0500000US13295,"Walker County, Georgia",13295,perc_White,0.9191812043978728
6424,0500000US13297,"Walton County, Georgia",13297,perc_White,0.7698772636453014
6425,0500000US13313,"Whitfield County, Georgia",13313,perc_White,0.8909469740413656
6426,0500000US15001,"Hawaii County, Hawaii",15001,perc_White,0.3278696659768849
6427,0500000US15003,"Honolulu County, Hawaii",15003,perc_White,0.2013928294014856
6428,0500000US15007,"Kauai County, Hawaii",15007,perc_White,0.3119804130413733
6429,0500000US15009,"Maui County, Hawaii",15009,perc_White,0.3362151318303401
6430,0500000US16001,"Ada County, Idaho",16001,perc_White,0.9019304923098007
6431,0500000US16005,"Bannock County, Idaho",16005,perc_White,0.8839513483965015
6432,0500000US16019,"Bonneville County, Idaho",16019,perc_White,0.9098620886596899
6433,0500000US16027,"Canyon County, Idaho",16027,perc_White,0.78964885642313
6434,0500000US16055,"Kootenai County, Idaho",16055,perc_White,0.9380918181982776
6435,0500000US17019,"Champaign County, Illinois",17019,perc_White,0.7128557053541197
6436,0500000US17031,"Cook County, Illinois",17031,perc_White,0.5662221495610005
6437,0500000US17037,"DeKalb County, Illinois",17037,perc_White,0.8142940217546736
